index	name	genres	rating	type	stars	details	box_office	tech_specs
1.	Перевал Дятлова	Action, Horror, Thriller	7.8	TV Series	Egor Beroev, Irina Lukina, Masha Matsel	Country: Russia\nLanguage: Russian\nRelease Date: 16 November 2020 (Russia) \nAlso Known As: Перевал Дятлова \nFilming Locations: Khibiny Mountains, Kola Peninsula, Murmansk region, Russia 	Null	Color: Black and White | Color
2.	Дорогие товарищи	Drama, History	6.5	Feature Film	Yuliya Vysotskaya, Vladislav Komarov, Andrey Gusev	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 12 November 2020 (Russia) \nAlso Known As: Дорогие товарищи \nFilming Locations: Novocherkassk, Rostovskaya oblast, Russia 	Cumulative Worldwide Gross: $156,771	Runtime: 116 min\nColor: Black and White\nAspect Ratio: 1.33 : 1
3.	Серебряные коньки	Adventure, Drama, Family	7.1	Feature Film	Fedor Fedotov, Sonia Priss, Yuriy Borisov	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian | English | French\nRelease Date: 10 December 2020 (Russia) \nAlso Known As: Серебряные коньки \nFilming Locations: St. Petersburg, Russia 	Cumulative Worldwide Gross: $3,444,818	Color: Color (DCP)\nAspect Ratio: 2.35 : 1
4.	Кольская сверхглубокая	Horror, Thriller	4.7	Feature Film	Albina Chaykina, Vadim Demchog, Nikita Dyuvbanov	Official Sites: Announcement\nCountry: Russia\nLanguage: Russian\nRelease Date: 4 November 2020 (Russia) \nAlso Known As: Кольская сверхглубокая \nFilming Locations: Teriberka, Murmansk oblast, Russia 	Budget:RUR150,000,000 (estimated)\nCumulative Worldwide Gross: $580,409	Runtime: 113 min\nColor: Color (original version)
5.	Siren head	Horror, Sci-Fi, Thriller	8.7	Feature Film	Sergey A., Ramil Albekov, Ivan Lachance	Official Sites: Official YouTube trailer | YouTube - Full movie (Flash)\nCountry: Russia | Ukraine | Ireland | Czech Republic\nLanguage: Russian | English\nRelease Date: 31 October 2020 (Russia) \nAlso Known As: Siren Head \nFilming Locations: Moscow, Russia 	Budget:RUR6,025 (estimated)	Runtime: 52 min\nSound Mix: Stereo\nColor: Color\nAspect Ratio: 16:9 HD
6.	Глубже!	Comedy, Drama	6.2	Feature Film	Aleksandr Pal, Lyubov Aksyonova, Oleg Gaas	Country: Russia\nLanguage: Russian\nRelease Date: 22 October 2020 (Russia) \nAlso Known As: Глубже! \nFilming Locations: Moscow, Russia 	Cumulative Worldwide Gross: $1,014,750	Runtime: 104 min\nColor: Color
7.	Последний богатырь: Корень зла	Adventure	6.2	Feature Film	Viktor Khorinyak, Mila Sivatskaya, Ekaterina Vilkova	Official Sites: Official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 1 January 2021 (Russia) \nAlso Known As: Последний богатырь: Корень зла 	Null	Color: Color
8.	Псих	Drama	6.8	TV Series	Konstantin Bogomolov, Elena Lyadova, Aleksandr Gorchilin	Country: Russia\nLanguage: Russian\nRelease Date: 5 November 2020 (Russia) \nAlso Known As: Псих 	Null	Runtime: 60 min\nColor: Color\nAspect Ratio: 16 : 9
9.	Вечер шутов, или Серьезно с приветом	Comedy, Romance	7.3	Feature Film	Yuliya Aleksandrova, Darya Egorova, Alisa Grebenshchikova	Country: Russia\nLanguage: Russian\nRelease Date: 26 November 2020 (Russia) \nAlso Known As: Вечер шутов, или Серьезно с приветом 	Cumulative Worldwide Gross: $20,166	Color: Color (DCP)
10.	Китобой	Drama	6.5	Feature Film	Vladimir Onokhov, Kristina Asmus, Vladimir Lyubimtsev	Official Sites: Official site [China]\nCountry: Russia | Poland | Belgium\nLanguage: Russian | English\nRelease Date: 17 September 2020 (Russia) \nAlso Known As: Китобой \nFilming Locations: Chukotka, Russia	Cumulative Worldwide Gross: $207,853	Runtime: 93 min\nColor: Color\nAspect Ratio: 4:3
11.	Scary Bride	Comedy, Horror	2.4	Feature Film	Diana Belova, Andrew Craig, Roman Danilychev	Official Sites: official website\nCountry: Russia\nLanguage: English\nRelease Date: 13 October 2020 (USA) \nFilming Locations: Kazan, Russia	Null	Color: Color\nAspect Ratio: 2.35 : 1
12.	Огонь	Action, Drama	6.9	Feature Film	Konstantin Khabenskiy, Ivan Yankovskiy, Stasya Miloslavskaya	Official Sites: Official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 24 December 2020 (Russia) \nAlso Known As: Огонь 	Null	Color: Color
13.	Побочный эффект	Horror, Thriller	6.2	Feature Film	Semyon Serzin, Marina Vasileva, Aleksandra Revenko	Country: Russia\nLanguage: Russian\nRelease Date: 5 November 2020 (Russia) \nAlso Known As: Побочный эффект 	Null	Runtime: 93 min\nSound Mix: Dolby Digital\nColor: Color
14.	Доктор Лиза	Biography, Drama	6.9	Feature Film	Chulpan Khamatova, Konstantin Khabenskiy, Andrzej Chyra	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 22 October 2020 (Russia) \nAlso Known As: Доктор Лиза 	Cumulative Worldwide Gross: $301,186	Runtime: 120 min\nColor: Color
15.	Вдова	Horror, Thriller	4.5	Feature Film	Viktotiya Potemina, Anastasiya Gribova, Margarita Bychkova	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 29 October 2020 (Russia) \nAlso Known As: Вдова 	Cumulative Worldwide Gross: $513,041	Runtime: 80 min\nColor: Color
16.	Красный призрак	Adventure, Drama, History	5.1	Feature Film	Wolfgang Cerny, German Segal	Country: Russia\nRelease Date: 3 May 2021 (Russia) \nAlso Known As: Красный призрак 	Null	Runtime: 96 min\nColor: Color
17.	Обратная связь	Comedy	6.7	Feature Film	Leonid Barats, Irina Gorbacheva, Rostislav Khait	Country: Russia\nLanguage: Russian\nRelease Date: 17 December 2020 (Russia) \nAlso Known As: Обратная связь 	Cumulative Worldwide Gross: $1,774,000	Color: Color
18.	Родком	Comedy	7.7	TV Series	Viktor Khorinyak, Olga Lerman, Veronika Timofeeva	Official Sites: Official page of the project on the Art Pictures site\nCountry: Russia\nLanguage: Russian\nRelease Date: 23 November 2020 (Russia) \nAlso Known As: Родком 	Null	Color: Color
19.	Пальмира	Drama	Null	Feature Film	Géza Morcsányi, Ekaterina Kramarenko, Daniela Stoyanovich	Official Sites: Official site [Russia] | This is the page of the film in English.\nCountry: Russia\nLanguage: Russian\nRelease Date: 21 October 2020 (South Korea) \nAlso Known As: Пальмира 	Null	Runtime: 85 min\nColor: Color
20.	Цой	Drama	4.9	Feature Film	Evgeniy Tsyganov, Paulina Andreeva, Maryana Spivak	Country: Russia | Latvia\nLanguage: Russian\nRelease Date: 12 November 2020 (Russia) \nAlso Known As: 47 \nFilming Locations: St. Petersburg, Russia 	Cumulative Worldwide Gross: $360,648	Runtime: 97 min\nColor: Color
21.	Непосредственно Каха!	Comedy	4.1	Feature Film	Artyom Karokozyan, Artyom Kalaydzhan, Tamara Turava	Country: Russia\nLanguage: Russian\nRelease Date: 12 November 2020 (Russia) \nAlso Known As: Непосредственно Каха 	Cumulative Worldwide Gross: $7,646,385	Runtime: 110 min\nColor: Color
22.	Подольские курсанты	Action, Drama, War	6.1	Feature Film	Artyom Gubin, Lubov Konstantinova, Igor Yudin	Official Sites: Official site | Official site\nCountry: Russia\nLanguage: Russian\nRelease Date: 4 November 2020 (Russia) \nAlso Known As: Подольские курсанты 	Cumulative Worldwide Gross: $1,216,018	Runtime: 136 min\nColor: Color
23.	Полное погружение	Animation, Family	5.5	Feature Film	Stephen Thomas Ochsner, Daniil Medvedev, Liza Klimova	Official Sites: Official site\nCountry: Russia | USA | Hungary\nLanguage: English\nRelease Date: 3 December 2020 (Russia) \nAlso Known As: Полное погружение 	Cumulative Worldwide Gross: $470,509	Runtime: 82 min\nColor: Color
24.	Гудбай, Америка	Comedy, Drama	5.6	Feature Film	Mikael Aramyan, Robert Felsted Jr., Lyanka Gryu	Country: Russia\nLanguage: Russian\nRelease Date: 8 October 2020 (Russia) \nAlso Known As: Гудбай, Америка 	Cumulative Worldwide Gross: $1,123,335	Runtime: 101 min\nColor: Color
25.	Стрельцов	Biography, Drama, Romance	4.8	Feature Film	Alexander Petrov, Stasya Miloslavskaya, Aleksandr Yatsenko	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 24 September 2020 (Russia) \nAlso Known As: Стрельцов 	Cumulative Worldwide Gross: $4,952,355	Runtime: 100 min\nColor: Color
26.	Конференция	Drama	6.9	Feature Film	Filipp Avdeev, Natalya Pavlenkova, Yan Tsapnik	Country: Russia | Estonia | UK | Italy\nLanguage: Russian\nRelease Date: 22 October 2020 (Russia) \nAlso Known As: Конференция 	Cumulative Worldwide Gross: $8,261	Runtime: 135 min\nColor: Color\nAspect Ratio: 2.35 : 1
27.	Беспринципные	Drama	6.9	TV Series	Kristina Babushkina, Ingeborga Dapkunaite, Pavel Derevyanko	Country: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: Беспринципные 	Null	Runtime: 60 min\nColor: Color
28.	На острие	Drama, Sport	4.8	Feature Film	Svetlana Khodchenkova, Stasya Miloslavskaya, Sergey Puskepalis	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 26 November 2020 (Russia) \nAlso Known As: На острие 	Cumulative Worldwide Gross: $1,081,472	Color: Color
